timestamp,transcription
2024-10-12 23:20:59," Can you not eat a little? Hmm. Ah, okay."
2024-10-12 23:21:05, Something I'm telling you. Jackie B. T. doesn't know. They don't know what's prettier.
2024-10-12 23:21:11, is called myself chat if it's kind of being stupid. I gotta think her 15 of them.
2024-10-12 23:21:17," Literally, Chad GpT has been a team member."
2024-10-12 23:21:23, This is true.
2024-10-12 23:21:29," there. Alright. Hey, this is going to dump up."
2024-10-12 23:21:34," Oh nice, now go to your router."
2024-10-12 23:21:40," It did stuff. It was better than it was supposed to do. Actually, wait."
2024-10-12 23:21:46, repeats in the transcript does it? What do you think it does? Well...
2024-10-12 23:21:52," It's written, it stores a lot more data than necessary, but first of all, we shouldn't have them."
2024-10-12 23:21:58, just demos right but if I'm indexing this for the words it's
2024-10-12 23:22:04, time stamp no matter what. And from that point you just select plus or minus however much
2024-10-12 23:22:10," Look at, right? So the dupes can stay. Where do the dupes?"
2024-10-12 23:22:15, They just they just occur because it's it's a five-second interval
2024-10-12 23:22:21, Where just in the like at the end of the CSV like this is all boobs and then like this is
2024-10-12 23:22:27, And then there's that much more but
